,
0,-99.30345377322432
1,-98.95976663029509
2,-97.12295703097601
3,-93.97588211711697
4,-86.42220783368394
5,-86.14125125126573
6,-83.81049677420863
7,-83.1217930570813
8,-78.05614913892855
9,-74.72144444533394
10,-73.00502276996966
11,-70.43316479705398
12,-68.75913652595948
13,-65.61342920358587
14,-65.07461948962991
15,-64.78909764235236
16,-54.6223400145597
17,-53.690957707061685
18,-52.222240895476304
19,-52.05238235740631
20,-49.80219890815221
21,-46.29908974888675
22,-38.26403557721524
23,-38.120825274995155
24,-36.53243614858347
25,-33.04804329188535
26,-30.7638122799653
27,-27.852349449556982
28,-24.766487253450315
29,-22.90880290992497
30,-21.300698760969464
31,-19.031152170728515
32,-16.719409057581306
33,-15.279464198393221
34,-10.669549248645595
35,-3.566529945475542
36,-2.844629769463679
37,-2.370494602971648
38,-2.028293959387911
39,2.4431375982189234
40,4.512913558788599
41,5.369711340383866
42,12.946389604169164
43,18.24586825406714
44,19.890732452076655
45,23.101717729442232
46,23.18763504930977
47,23.531731553151932
48,24.63214692822249
49,12.392640293101593
