,
0,-4.86573261347787
1,-4.8537123990861355
2,-4.725348240566556
3,-4.719203824359636
4,-4.678125954369535
5,-4.421937762837162
6,-4.371661024985442
7,-4.274978025563086
8,-4.248593241619387
9,-4.084308132848928
10,-3.831092708230893
11,-3.7711137914260013
12,-3.6043604830080627
13,-3.4593108904508347
14,-3.3487018157201462
15,-3.277758752706852
16,-3.22905094101811
17,-3.204795344721927
18,-3.203984072416253
19,-3.0914633203733026
20,-2.821635464191847
21,-2.697464110809257
22,-2.678251213778385
23,-2.3546829197040386
24,-2.254016895548481
25,-2.238218413806123
26,-2.1706033950596155
27,-2.0301774796930827
28,-1.3488073168813524
29,-1.273928434862515
30,-1.1231498961044049
31,-0.5295821115713782
32,-0.4590271514533955
33,-0.45585369037100065
34,-0.3984759119427288
35,-0.3761154266977259
36,-0.1334180432072294
37,-0.023575559044740384
38,0.11681945059511863
39,0.21250270707198007
40,0.2692787234124361
41,0.28628594557686055
42,0.46834630745436606
43,0.4867335890373061
44,0.5173769032144266
45,0.6465428784163251
46,0.7158790427211813
47,0.7388674899622641
48,0.7518038993532664
49,-1.9948401084633507
